Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-3591	3052	61	-2532	-2476	1195	
-3620	3072	71	-2552	-2497	1195	
-3649	3081	71	-2571	-2517	1195	
-3681	3088	69	-2592	-2540	1195	
-3711	3091	67	-2613	-2562	1195	
-3743	3095	64	-2634	-2583	1195	
-3743	3095	64	-2634	-2583	1195	
-3743	3095	64	-2634	-2583	1195	
-3743	3095	64	-2634	-2583	1195	
-3743	3095	1	-2634	-15639	1195	
-3751	3097	63	-2640	-2588	1195	
-3788	3100	62	-2664	-2616	1195	
-3822	3101	62	-2688	-2640	1195	
-3857	3101	62	-2712	-2663	1195	
-15671	3101	62	-2737	-2691	1195	
-3935	3101	62	-2764	-2719	1195	
-3940	3101	62	-2768	-2723	1195	
-3940	3101	62	-2768	-2723	1195	
-3940	3101	62	-2768	-2723	-15701	
-3940	3101	62	-2768	-2723	1195	
-3940	3101	62	-2768	-2723	1195	
-3944	-15843	64	-15824	-2725	1195	
-3944	3101	64	-2768	-2725	1195	
-3944	3101	64	-2768	-2725	1195	
-15720	3101	1	-2768	-2725	1195	
-15720	3101	64	-2768	-2725	1195	
-3944	3101	64	-2768	-2725	1025	
-3955	3113	71	-2778	-2735	1195	
-3978	3135	82	-2793	-2753	1195	
-3999	3158	95	-2808	-2769	1195	
-4026	3182	107	-2826	-2788	1195	
-4058	3197	107	-2847	-2815	1195	
-4090	3204	104	-2868	-2832	1195	
-4127	3209	101	-2893	-2859	1195	
-4161	3212	99	-2915	-2882	1195	
-4161	-15732	99	-2915	-2882	1195	
-4161	3212	99	-2915	-2882	1195	
-4161	3212	99	-2915	-2882	1195	
-4161	3212	99	-2915	-2882	1195	
-4183	3213	99	-2930	-2898	1195	
-4219	3213	99	-2954	-2924	1195	
-4254	3213	99	-2977	-2947	1195	
-4290	3213	99	-3000	-2970	1195	
-4324	3213	99	-3024	-2996	1195	
-4350	3213	99	-3041	-3014	1195	
-4350	3213	99	-3041	-3014	1195	
-4350	3213	99	-3071	-3014	1195	
-4350	3213	99	-3041	-3014	1195	
-4350	3213	99	-3041	-3014	1195	
-4375	3213	99	-3059	-3030	1195	
-4407	3213	99	-3081	-3052	1195	
-4444	3213	99	-3105	-3078	1195	
-4478	3213	99	-3128	-3102	1195	
-4516	3213	1	-3154	-3127	-15701	
-4543	3213	99	-3173	-3146	1195	
-4543	3213	99	-3173	-3146	1195	
-4543	3213	1	-3173	-3146	1195	
-4543	-15731	99	-3173	-3146	1195	
-4543	3213	99	-3173	-3146	1195	
-4552	3073	99	-3178	-3152	1195	
-4583	3213	99	-3199	-3174	1195	
-4620	3213	99	-3224	-3198	1195	
-4654	3213	99	-3247	-3222	1195	
-4696	3213	99	-3275	-3252	1195	
-4734	3213	99	-3299	-3276	1195	
-4734	3213	99	-3299	-3276	1195	
-4734	3213	1	-3299	-3276	1195	
-4734	3213	99	-3299	-3276	1195	
-4734	3213	99	-3299	-3276	1195	
-4750	3213	99	-3310	-3288	1195	
-4786	3213	99	-3333	-3312	1195	
-15836	3213	99	-3361	-3343	1195	
-4868	3213	99	-3388	-3368	1195	
-4905	3213	99	-3411	-3392	1195	
-4920	3213	99	-3421	-3403	1195	
-4920	3213	99	-3421	-3403	1195	
-4920	3213	99	-3421	-3403	1195	
-4920	3213	99	-3421	-3403	1195	
-4920	3213	-15773	-3421	-3403	1195	
-4920	3212	99	-3583	-3404	1195	
-4920	3212	99	-3421	-3404	1195	
-4920	3212	99	-3421	-3404	1195	
-4920	3212	1	-3421	-3404	1195	
-4920	3212	99	-3421	-3404	1195	
-4920	3212	99	-3421	-15692	1195	
-4921	3213	99	-3421	-3406	1195	
-4954	3226	103	-3443	-3428	1195	
-4985	3232	102	-3463	-3448	1195	
-5020	3237	101	-3487	-3472	1195	
-5060	3241	101	-3514	-3500	1195	
-5092	3244	101	-3537	-3520	1195	
-5130	3245	101	-3562	-3547	1195	
-5134	3245	101	-3565	-3549	1195	
-5134	3245	101	-3565	-3549	1195	
-5134	3245	101	-3565	-3549	1195	
-5134	3245	101	-3565	-15837	1195	
-5134	3245	-15771	-3565	-15837	1195	
-5134	3246	102	-3566	-3549	1195	
-5134	3246	1	-3566	-3549	1195	
-5134	3246	102	-3583	-3549	1025	
-5134	3246	102	-3566	-15871	1195	
-5134	-15698	102	-3566	-3549	-15701	
-5134	3246	102	-3583	-3549	1195	
-5149	3251	104	-3579	-3565	1195	
-5172	3275	118	-3595	-3580	1195	
-5198	3303	133	-3612	-3598	1195	
-5223	3327	144	-3839	-3616	-15701	
-5250	3341	144	-3648	-3635	1195	
-5287	3351	142	-3674	-3660	1195	
-5322	3356	142	-3698	-3683	1195	
-5350	3359	142	-3718	-3704	1195	
