Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
15091	221	-6143	3465	3267	1	
15109	221	-6008	3465	3267	1	
15130	221	-6008	3465	3267	1	
15151	221	-6008	3465	3267	1	
15173	221	-6008	3465	3267	1	
15196	221	-6008	3465	3267	1	
15215	221	-6008	3465	3267	1	
15236	221	-6008	3465	3267	1	
15254	221	-6008	3465	3267	1	
15274	221	-6008	3465	3267	1	
15296	221	-6008	3465	3267	1	
15315	221	-6008	3465	3267	1	
15332	221	-6008	3465	3267	1	
15350	221	-6008	3465	3267	1	
15372	221	-6008	3465	3073	1	
15389	221	-6008	3465	3267	1	
15409	221	-6008	3465	3267	1	
15428	221	-6008	3465	3267	1	
15449	221	-6008	3465	3267	1	
15468	221	-6008	3465	3267	1	
15490	221	-6008	3465	3267	1	
15509	221	-6008	3465	3267	1	
15533	221	-6008	3465	3267	1	
15556	221	-6008	3465	3267	1	
15573	221	-6008	3465	3267	1	
15593	221	-6008	3465	3267	1	
